Station,Year,Season,L4_Chl-a,L4_Depth,L4_pH,L4_Sal,L4_DO,L4_COD,L4_DIP,L4_NO2-N,L4_NO3-N,L4_NH4-N,L4_DIN,L4_NO3/NO2,L4_NO3/NH4,L4_NO2/NH4,L4_Petro,L4_TN,L4_TP,L4_TN/TP,L4_Si,L4_SS,L4_COD_rate,L4_DIP_rate,L4_DIN_rate,L4_Petroleum_rate,L4_Max_rate,L4_N/P,L4_Si/N,L4_Si/P,L4_T,L4_Tr,L4_WindS,L4_WindD,L4_WaterC,L4_SeaC,L4_Weather
295207,2016,1,6.24,12,8.17,31.063,8.48,0.713,0.011,0.004,0.188,0.071,0.262,52.374,2.66,0.051,0.026,0.331,0.038,8.78,0.154,14.7,0.357,0.763,1.616,0.528,1.616,22.845,0.587,0.587,3.96,1.2,4.5,355,7,1,Sunny
296151,2016,1,5.107,23.5,8.153,31.061,9.2,0.772,0.01,0.005,0.098,0.027,0.129,20.504,3.667,0.179,0.03,0.188,0.037,5.104,0.215,15.433,0.386,0.672,0.645,0.602,0.727,12.808,1.666,1.666,5.16,1.5,2.3,162,7,1,Sunny
296271,2016,1,2.947,24,8.073,31.043,9.33,0.746,0.013,0.004,0.12,0.032,0.156,27.467,3.779,0.138,0.038,0.223,0.041,5.417,0.29,10.677,0.373,0.854,0.778,0.764,0.86,12.151,1.865,1.865,5.17,1.2,2.2,177,7,1,Sunny
296629,2016,1,5.437,32.5,8.173,31.093,8.863,0.906,0.01,0.003,0.189,0.075,0.266,60.277,2.532,0.042,0.039,0.327,0.044,7.426,0.229,10.87,0.453,0.674,1.663,0.776,1.663,26.357,0.86,0.86,3.55,0.5,1.5,20,8,1,Sunny
296631,2016,1,4.857,31,8.19,31.05,8.727,0.744,0.015,0.004,0.207,0.066,0.277,56.96,3.149,0.055,0.025,0.352,0.04,8.757,0.302,17.367,0.372,0.992,1.768,0.49,1.768,18.598,1.09,1.09,3.6,0.9,1.5,20,8,1,Sunny
296633,2016,1,3.625,22,8.175,30.506,8.9,0.821,0.009,0.004,0.199,0.065,0.268,55.587,3.052,0.055,0.019,0.347,0.043,8.107,0.207,15.15,0.41,0.612,1.678,0.382,1.678,29.17,0.773,0.773,3.77,1,1.5,20,8,1,Sunny
296641,2016,1,2.27,22,8.14,31.043,8.87,0.753,0.015,0.003,0.16,0.055,0.218,53.872,2.914,0.054,0.011,0.281,0.047,6.037,0.13,14.75,0.377,0.977,1.179,0.222,1.179,14.872,0.594,0.594,3.49,0.8,3.5,350,7,1,Sunny
296651,2016,1,1.76,10,8.17,30.995,9.07,0.693,0.011,0.004,0.183,0.073,0.26,48.031,2.514,0.052,0.031,0.353,0.055,6.43,0.271,20.3,0.347,0.727,1.596,0.612,1.596,23.817,1.044,1.044,4.06,1,2.5,0,8,1,Sunny
296677,2016,1,3.105,24.5,8.185,31.054,9.11,0.849,0.012,0.003,0.161,0.055,0.219,49.69,2.897,0.058,0.017,0.292,0.051,5.731,0.156,15.4,0.424,0.793,1.191,0.342,1.191,18.414,0.71,0.71,3.66,0.8,3,0,7,1,Sunny
296693,2016,1,2.96,16,8.175,31.019,8.81,0.793,0.013,0.004,0.183,0.085,0.272,50.763,2.147,0.042,0.012,0.353,0.046,7.605,0.107,12.13,0.397,0.843,1.719,0.24,1.719,21.491,0.392,0.392,3.9,0.8,3,0,7,1,Sunny
296745,2016,1,5.517,24.7,8.17,31.058,9.017,0.578,0.013,0.004,0.108,0.024,0.136,29.084,4.481,0.154,0.019,0.206,0.031,6.703,0.263,19.267,0.289,0.84,0.679,0.388,1.087,10.779,1.934,1.934,5.09,1,2.2,167,7,1,Sunny
296753,2016,1,3.66,23,8.157,31.058,8.833,0.583,0.009,0.004,0.134,0.032,0.17,32.524,4.166,0.128,0.017,0.249,0.032,7.677,0.234,22.867,0.292,0.605,0.851,0.346,1.004,18.754,1.376,1.376,5.28,1,2.2,177,7,1,Sunny
296757,2016,1,2.21,48,8.127,30.994,8.84,0.488,0.011,0.004,0.118,0.033,0.155,32.539,3.568,0.11,0.016,0.227,0.04,5.717,0.232,15.433,0.244,0.753,0.776,0.328,1.062,13.733,1.495,1.495,5.09,1,2.3,188,7,1,Sunny
296775,2016,1,4.407,30,8.087,31.005,8.873,0.727,0.01,0.005,0.121,0.031,0.157,23.894,3.859,0.162,0.021,0.234,0.036,6.518,0.287,24.667,0.364,0.654,0.785,0.412,0.853,16.002,1.828,1.828,5.24,1,2.3,169,7,1,Sunny
296807,2016,1,5.25,7,8.07,31.075,9.02,0.885,0.008,0.003,0.165,0.084,0.252,54.098,1.976,0.037,0.041,0.317,0.045,7.013,0.224,25.4,0.443,0.541,1.516,0.816,1.516,31.017,0.89,0.89,4.24,0.5,6,50,7,2,Sunny
296813,2016,1,5.723,27,8.037,31.112,8.983,0.722,0.014,0.006,0.099,0.034,0.139,16.648,2.948,0.177,0.018,0.205,0.038,5.381,0.217,11.143,0.361,0.965,0.695,0.352,0.965,9.602,1.561,1.561,5.43,1.5,2.2,175,7,1,Sunny
296817,2016,1,3.817,24,8.147,31.033,8.96,0.54,0.018,0.004,0.11,0.024,0.138,28.808,4.54,0.158,0.022,0.21,0.029,7.309,0.265,15.333,0.27,1.071,0.692,0.438,1.136,7.882,1.914,1.914,5.24,1.5,2.3,171,7,1,Sunny
296825,2016,1,5.287,24.4,8.16,31.104,9.073,0.61,0.012,0.004,0.12,0.024,0.148,28.571,4.979,0.174,0.026,0.221,0.035,6.261,0.251,19.033,0.305,0.794,0.742,0.528,1.04,12.452,1.693,1.693,5.23,1.2,2.2,167,7,1,Sunny
296829,2016,1,5.11,19,8.09,31.104,9.06,0.87,0.013,0.003,0.143,0.078,0.223,55.664,1.83,0.033,0.036,0.286,0.035,8.088,0.223,22.45,0.435,0.863,1.229,0.724,1.229,17.213,0.998,0.998,3.78,0.5,6,50,8,2,Sunny
296831,2016,1,3.915,20.5,8.235,31.029,9.07,0.842,0.012,0.003,0.146,0.073,0.221,54.393,1.99,0.037,0.031,0.287,0.048,5.956,0.179,30.55,0.421,0.767,1.213,0.612,1.213,19.241,0.807,0.807,3.66,0.4,6,50,8,2,Sunny
296869,2016,1,3.705,23.5,8.145,31,8.865,0.83,0.013,0.002,0.142,0.079,0.223,57.49,1.804,0.031,0.025,0.297,0.056,5.252,0.168,25,0.415,0.867,1.232,0.49,1.232,17.167,0.753,0.753,3.59,0.5,6,50,8,2,Sunny
296873,2016,1,3.137,28,8.243,31.147,8.863,0.882,0.013,0.003,0.148,0.084,0.234,56.218,1.757,0.031,0.019,0.309,0.04,7.788,0.186,14.667,0.441,0.869,1.343,0.382,1.343,17.979,0.792,0.792,3.76,0.4,6,50,8,2,Sunny
296881,2016,1,4.677,26,8.12,31.237,8.787,0.885,0.005,0.001,0.196,0.073,0.27,147.487,2.665,0.018,0.02,0.346,0.038,9.058,0.248,13.237,0.443,0.341,1.704,0.394,1.704,52.852,0.917,0.917,3.75,0.5,7,45,8,2,Sunny
296933,2016,1,5.07,27,8.19,31.115,8.203,0.893,0.013,0.002,0.178,0.075,0.256,78.331,2.378,0.03,0.022,0.326,0.052,6.263,0.157,22.48,0.447,0.893,1.556,0.448,1.556,19.075,0.614,0.614,3.71,0.4,7,65,8,2,Sunny
296967,2016,1,4.085,20,8.105,31.07,8.615,0.933,0.017,0.002,0.174,0.135,0.31,76.432,1.29,0.017,0.022,0.395,0.045,8.728,0.205,21.135,0.467,1.052,2.103,0.438,2.103,18.251,0.659,0.659,3.87,0.5,7,65,8,2,Sunny
296999,2016,1,5.49,26,8.177,31.133,8.72,0.675,0.014,0.003,0.167,0.095,0.264,57.471,1.757,0.031,0.012,0.342,0.042,8.169,0.154,20.367,0.338,0.918,1.644,0.24,1.644,19.206,0.582,0.582,3.79,0.5,7,45,8,2,Sunny
297011,2016,1,4.09,23.5,8.2,31,8.83,0.65,0.013,0.002,0.173,0.089,0.264,80.046,1.937,0.024,0.016,0.352,0.055,6.374,0.177,22.15,0.325,0.877,1.637,0.316,1.637,20.054,0.671,0.671,3.7,0.5,7,65,8,2,Sunny
297069,2016,1,2.095,21,8.135,30.979,8.565,0.455,0.019,0.003,0.18,0.086,0.269,68.834,2.094,0.03,0.019,0.348,0.048,7.273,0.207,30.9,0.228,1.132,1.686,0.37,1.686,13.844,0.771,0.771,3.65,0.4,6,65,8,2,Sunny
297119,2016,1,6.36,25.5,8.203,31.318,8.663,0.824,0.019,0.003,0.191,0.074,0.267,75.395,2.596,0.034,0.017,0.338,0.042,8.132,0.239,28.3,0.412,1.102,1.671,0.342,1.671,14.438,0.894,0.894,3.7,0.4,7,50,8,2,Sunny
297169,2016,1,3.72,22,8.225,31.03,8.83,0.933,0.017,0.002,0.177,0.112,0.291,72.188,1.582,0.022,0.011,0.385,0.048,8.069,0.193,17,0.467,1.043,1.905,0.222,1.905,17.346,0.664,0.664,3.58,0.5,6,65,8,2,Sunny
298639,2016,1,2.723,26,8.177,31.118,8.58,0.755,0.019,0.002,0.163,0.065,0.231,74.924,2.508,0.033,0.016,0.292,0.044,6.69,0.241,32.933,0.378,1.107,1.306,0.328,1.306,12.356,1.046,1.046,3.43,0.4,7,55,8,2,Sunny
298649,2016,1,6.54,24,8.155,31.001,9.025,0.798,0.021,0.002,0.198,0.099,0.299,101.538,1.994,0.02,0.021,0.336,0.047,7.157,0.176,44.85,0.399,1.183,1.993,0.416,1.993,14.284,0.588,0.588,3.59,0.5,7,60,8,2,Sunny
298695,2016,1,3.543,26,8.103,31.124,8.29,0.721,0.014,0.002,0.167,0.068,0.237,73.099,2.463,0.034,0.019,0.293,0.054,5.447,0.202,27.967,0.36,0.96,1.366,0.388,1.366,16.431,0.854,0.854,3.5,0.4,7,55,8,2,Sunny
298767,2016,1,6.49,32,8.133,31.09,8.827,0.883,0.016,0.003,0.172,0.094,0.269,55.857,1.824,0.033,0.022,0.34,0.043,7.973,0.193,27.233,0.441,1.006,1.689,0.448,1.689,17.199,0.717,0.717,3.98,0.5,1.8,160,7,1,Sunny
298867,2016,1,0.885,24.2,8.03,32.538,11.7,0.705,0.004,0.001,0.27,0.017,0.288,233.434,15.853,0.068,0.015,0.336,0.015,22.072,0.279,1.8,0.352,0.293,1.877,0.304,1.877,65.376,0.97,0.97,3.8,1.8,3.5,69,10,4,Rainy
309437,2016,1,3.96,12,8.06,31.129,8.46,0.758,0.015,0.003,0.188,0.102,0.293,60.353,1.849,0.031,0.039,0.357,0.044,8.132,0.179,25.45,0.379,0.992,1.928,0.776,1.928,19.264,0.61,0.61,4.22,0.4,1.5,205,8,1,Sunny
309443,2016,1,4.83,29,8.153,30.937,8.563,0.967,0.018,0.002,0.169,0.095,0.267,73.73,1.775,0.024,0.011,0.345,0.053,6.483,0.151,20.947,0.484,1.099,1.67,0.224,1.67,14.486,0.565,0.565,3.51,0.5,6,60,8,2,Sunny
309501,2016,1,4.925,21,8.13,30.991,8.87,0.865,0.013,0.003,0.172,0.087,0.262,63.586,1.967,0.031,0.025,0.328,0.045,7.278,0.196,24,0.433,0.873,1.622,0.49,1.622,20.012,0.748,0.748,4.18,0.4,1.5,200,8,1,Sunny
309509,2016,1,0.664,1.5,8.26,32.038,11.06,0.465,0.001,0.006,0.225,0.003,0.233,38.462,86.873,2.259,0.004,0.24,0.035,6.78,0.15,3.4,0.233,0.044,1.334,0.086,1.935,355.854,0.643,0.643,6.5,1.3,1.7,36,9,1,Cloudy
309549,2016,1,0.443,8.6,8.2,32.124,12.18,0.427,0.001,0.013,0.095,0.001,0.108,7.568,113.839,15.042,0.004,0.11,0.053,2.072,0.082,4.2,0.214,0.044,0.54,0.08,0.77,164.529,0.757,0.757,6.2,1.1,2,62,10,2,Cloudy
309587,2016,1,0.664,9.5,8.27,31.882,12.18,0.465,0.002,0.001,0.151,0,0.152,102.027,0,0,0.004,0.179,0.024,7.427,0.214,9.1,0.233,0.137,0.762,0.085,0.762,74.019,1.403,1.403,5.5,0.2,2.2,44,18,1,Cloudy
309609,2016,1,0.281,14,8.205,32.386,11.775,0.665,0,0.001,0.158,0.004,0.163,106.061,39.873,0.376,0,0.165,0.032,5.132,0.242,8.75,0.333,0,0.815,0,1.317,,1.485,1.485,5,0.3,2.4,49,17,2,Cloudy
309613,2016,1,0.442,8,8.23,32.283,11.98,0.651,0,0,0.16,0.012,0.172,563.38,13.913,0.025,0.011,0.198,0.041,4.794,0.084,9.5,0.326,0.012,0.859,0.222,0.859,918.631,0.488,0.488,4.4,0.2,2.1,47,19,2,Cloudy
309621,2016,1,0.237,17.6,8.03,32.533,11.695,0.696,0.003,0.001,0.283,0.012,0.296,364.751,22.691,0.062,0.047,0.641,0.017,36.945,0.29,4.05,0.348,0.216,1.957,0.936,1.957,91.414,0.979,0.979,3.7,1.5,2.8,339,11,3,Fog
309669,2016,1,0.427,23.7,8.22,32.386,11.865,0.589,0.001,0,0.205,0.003,0.208,720.07,60.207,0.084,0.006,0.23,0.047,4.888,0.269,9.35,0.294,0.09,1.082,0.126,1.185,153.639,1.292,1.292,4.6,0.3,3,56,17,3,Cloudy
310141,2016,1,0.492,8.6,8.03,32.024,10.96,0.729,0.004,0.001,0.112,0.011,0.124,106.667,10.566,0.099,0,0.284,0.039,7.358,0.21,6,0.365,0.262,0.618,0,1.136,31.463,1.698,1.698,5,0.5,4.1,142,16,1,Cloudy
310157,2016,1,0.679,6.6,8.23,32.047,10.97,0.682,0.011,0.001,0.18,0,0.181,250,0,0,0.004,0.441,0.065,6.785,0.266,9.5,0.341,0.733,0.904,0.073,1.918,16.429,1.472,1.472,5.3,1,4.2,133,12,2,Cloudy
310159,2016,1,0.492,9.8,8.1,32.115,11.32,0.709,0.004,0.001,0.105,0.01,0.116,100,10.096,0.101,0.004,0.258,0.008,32.576,0.206,4.6,0.355,0.262,0.582,0.072,1.194,29.631,1.769,1.769,4.8,0.3,4.2,144,18,1,Cloudy
310165,2016,1,0.648,9.2,8.04,31.314,12.04,0.743,0,0.002,0.077,0.003,0.082,48.428,23.984,0.495,0.013,0.106,0.019,5.521,0.049,9,0.372,0.012,0.409,0.252,1.425,437.436,0.593,0.593,6.4,1.2,2.7,39,10,1,Cloudy
310175,2016,1,0.443,7.8,8.26,32.128,11.42,0.613,0.017,0.001,0.204,0.001,0.206,334.426,151.111,0.452,0.004,0.404,0.072,5.65,0.3,3.7,0.307,1.052,1.06,0.073,1.086,12.115,1.457,1.457,5.2,1.1,4.9,150,13,2,Cloudy
310189,2016,1,0.459,7.2,8.17,32.436,11.03,0.678,0.015,0,0.23,0.003,0.233,585.242,86.142,0.147,0,0.296,0.11,2.691,0.277,6.6,0.339,0.98,1.331,0,1.331,15.855,1.189,1.189,4.8,1,8.1,147,11,2,Cloudy
310199,2016,1,1.335,18.5,8.05,32.176,11.64,0.763,0.011,0.002,0.197,0.019,0.217,115.249,10.424,0.09,0,0.311,0.047,6.571,0.332,8.2,0.382,0.7,1.171,0,1.171,20.672,1.527,1.527,4.2,0.1,0.7,60,20,0,Cloudy
310211,2016,1,0.665,9.5,8.26,32.224,11.35,0.731,0.007,0,0.192,0.004,0.196,0,45.07,0,0.004,0.229,0.029,7.924,0.25,4.2,0.366,0.481,0.981,0.086,1.298,27.221,1.274,1.274,5.1,1.2,7,147,12,3,Cloudy
310223,2016,1,1.08,21.2,8.07,32.396,12.05,0.7,0.011,0.008,0.12,0.018,0.145,15.595,6.857,0.44,0,0.33,0.062,5.289,0.275,7.5,0.35,0.747,0.726,0,0.88,12.964,1.894,1.894,4.1,0.2,0.9,138,19,1,Cloudy
310239,2016,1,0.574,28,8.023,32.276,11.92,0.73,0.01,0.003,0.155,0.023,0.181,58.44,6.704,0.115,0,0.269,0.063,4.287,0.36,6.467,0.365,0.688,0.903,0,0.907,17.513,1.995,1.995,4.1,0.1,0.7,51,20,0,Fog
310271,2016,1,0.23,20.4,8.245,32.316,11.36,0.587,0.011,0,0.217,0.002,0.219,641.064,107.692,0.168,0.004,0.258,0.07,3.686,0.297,5.95,0.293,0.715,1.194,0.081,1.198,20.462,1.352,1.352,4.9,1.3,5.4,156,10,3,Cloudy
310635,2016,1,0.458,5.9,8.11,32.019,10.12,0.771,0.003,0.001,0.133,0.019,0.152,184.722,7.151,0.039,0,0.25,0.035,7.184,0.297,3.9,0.386,0.231,0.762,0,1.123,43.896,1.95,1.95,6.3,1.2,3.5,68,10,1,Fog
310643,2016,1,0.222,3.6,8.26,31.953,11.83,0.518,0.019,0,0.204,0.003,0.207,0,66.45,0,0.004,0.314,0.024,13.362,0.306,2.3,0.259,1.132,1.071,0.081,1.17,10.674,1.478,1.478,5.1,0.6,3.2,192,14,2,Cloudy
310653,2016,1,0.459,6.6,8.03,32.402,10.04,0.714,0.002,0.002,0.108,0.018,0.129,45.763,5.934,0.13,0,0.259,0.037,7,0.185,5.3,0.357,0.106,0.643,0,0.864,80.855,1.439,1.439,6.6,1.3,2.5,294,8,1,Fog
310661,2016,1,0.443,7.2,8.2,31.949,11.47,0.648,0.015,0,0.177,0.006,0.183,0,28.734,0,0.022,0.326,0.016,20.375,0.318,6,0.324,0.992,0.916,0.436,1.57,12.05,1.736,1.736,4.7,0.5,2.5,147,15,2,Cloudy
310677,2016,1,0.443,8,8.12,32.134,10.18,0.769,0.005,0.018,0.232,0,0.25,12.961,0,0,0,0.293,0.035,8.42,0.341,6.1,0.385,0.356,1.499,0,1.499,46.798,1.365,1.365,6.3,1.3,3.4,58,7,1,Fog
310685,2016,1,0.222,4.8,8.25,32.334,10.52,0.419,0.005,0.001,0.178,0.003,0.182,291.326,60.751,0.209,0.026,0.191,0.012,15.656,0.167,3.9,0.21,0.325,0.908,0.516,1.593,37.277,0.92,0.92,6.6,0.8,1.9,183,13,1,Cloudy
310687,2016,1,2.75,5,8.13,31.103,9.35,0.695,0.012,0.004,0.126,0.033,0.163,33.071,3.784,0.114,0.038,0.21,0.027,7.865,0.292,117,0.348,0.813,0.816,0.756,1.167,13.37,1.79,1.79,4.75,0.2,1.3,15,9,1,Sunny
310693,2016,1,0.462,7.5,8.06,31.828,10.15,0.743,0.002,0.001,0.071,0.026,0.098,47.838,2.702,0.056,0,0.549,0.125,4.392,0.198,1.5,0.372,0.106,0.492,0,1.983,61.937,2.011,2.011,6.7,1.3,3.1,296,8,1,Fog
310713,2016,1,0.442,9,8.11,31.948,10.23,0.854,0.002,0.001,0.098,0.015,0.114,136.667,6.694,0.049,0,0.263,0.112,2.348,0.235,4.1,0.427,0.137,0.569,0,1.108,55.252,2.065,2.065,6.5,1.2,1.9,172,9,1,Fog
310721,2016,1,0.206,8.3,8.23,32.402,10.85,0.773,0.01,0,0.198,0.006,0.205,503.817,32.195,0.064,0.02,0.337,0.109,3.092,0.279,5.8,0.387,0.637,1.045,0.396,1.447,21.418,1.364,1.364,4.8,0.5,3.1,139,15,2,Cloudy
310747,2016,1,3.06,15,8.09,31.33,8.495,0.763,0.015,0.003,0.181,0.033,0.216,71.344,5.503,0.077,0.028,0.273,0.027,9.964,0.21,45.3,0.381,0.98,1.158,0.558,1.158,14.682,0.971,0.971,5.45,0.5,1.5,20,7,1,Sunny
310755,2016,1,0.443,9.4,8.13,32.243,10.56,0.683,0.007,0.017,0.175,0.031,0.223,10.116,5.682,0.562,0,0.452,0.007,61.247,0.252,9.2,0.342,0.449,1.231,0,1.231,33.101,1.13,1.13,6.2,1.2,4.2,71,8,2,Fog
310765,2016,1,0.237,6.3,8.26,32.031,12.04,0.754,0.019,0,0.23,0,0.23,809.859,0,0,0.004,0.285,0.068,4.21,0.331,6.4,0.377,1.115,1.303,0.079,1.595,12.184,1.437,1.437,5.3,0.8,7.7,135,13,2,Cloudy
310781,2016,1,0.237,9.2,8.16,32.036,11.98,0.777,0.01,0,0.198,0.006,0.205,503.817,32.195,0.064,0.02,0.337,0.109,3.092,0.279,5.4,0.389,0.637,1.045,0.392,1.813,21.418,1.364,1.364,4.9,0.6,4.8,156,14,3,Cloudy
310813,2016,1,0.237,13,8.075,32.361,10.745,0.816,0.006,0.001,0.053,0.014,0.067,78.963,3.808,0.048,0.008,0.289,0.038,7.703,0.208,6.9,0.408,0.371,0.335,0.159,1.824,12.032,3.104,3.104,6.1,1.4,4.8,87,8,2,Fog
